                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6741,                 5.3034,                 3.0623,                      0,                      0,                      0,                      0,                 3.3447,                 6.4775,                 3.2062,                      0,                      0,                      0
                      2,                 2.2809,                 5.2735,                 2.7401,                      0,                      0,                      0,                      0,                 3.3132,                 6.4999,                 3.1599,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.2422,                 5.5246,                 2.7943,                      0,                      0,                      0,                      0,                 3.2927,                 6.5172,                 3.1419,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.2167,                  5.248,                  2.724,                      0,                      0,                      0,                      0,                 3.2903,                  6.494,                 3.1424,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.3661,                 5.4051,                 2.5988,                      0,                      0,                      0,                      0,                  3.278,                 6.4581,                 3.1465,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.2384,                 5.1205,                 2.8215,                 0.0119,                0.16667,                0.01276,                0.00128,                 3.2645,                 6.4542,                 3.1416,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.3154,                 5.6632,                 2.7778,                0.01389,                0.16667,                0.01658,                0.00166,                 3.2575,                 6.4669,                  3.145,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.1774,                 5.7006,                 2.6341,                0.01389,                0.16667,                0.01658,                0.00166,                 3.2477,                 6.4818,                 3.1478,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.4543,                 5.5349,                 2.6843,                0.01389,                0.16667,                0.01658,                0.00166,                 3.2344,                  6.513,                 3.1515,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.8722,                  4.999,                 2.3766,                0.01389,                0.16667,                0.01658,                0.00166,                  3.222,                  6.512,                  3.146,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.4684,                 5.1243,                 2.5104,                0.01389,                0.16667,                0.01658,                0.00166,                 3.2696,                 6.5543,                 3.1339,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.7044,                 5.2423,                 2.0833,                0.01389,                0.16667,                0.01658,                0.00166,                 3.3119,                 6.5839,                 3.1241,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.8953,                  4.882,                 2.2252,                0.01389,                0.16667,                0.01658,                0.00166,                 3.3299,                 6.6498,                 3.1056,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.9925,                 4.8248,                 2.4363,                0.00926,                0.16667,                0.01382,                0.00138,                 3.2749,                 6.6197,                 3.0767,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.0064,                 4.8331,                 2.3363,                0.00926,                0.16667,                0.01382,                0.00138,                 3.2479,                 6.6063,                 3.0826,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.9646,                  4.711,                   2.28,                0.00926,                0.16667,                0.01382,                0.00138,                 3.1807,                 6.6339,                  3.045,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.6897,                 4.7445,                 2.1149,                0.00926,                0.16667,                0.01382,                0.00138,                 3.1667,                 6.6128,                  3.035,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.8685,                 5.2495,                 2.1515,                0.00926,                0.16667,                0.01382,                0.00138,                 3.1667,                 6.6128,                  3.035,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.9008,                  4.852,                 2.5454,                0.00926,                0.16667,                0.01382,                0.00138,                 3.1123,                 6.6522,                 2.9766,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.6384,                 4.7658,                 1.9606,                0.00926,                0.16667,                0.01382,                0.00138,                 3.1123,                 6.6522,                 2.9766,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.6044,                 4.5814,                 2.1932,                0.01111,                0.16667,                0.04146,                0.00415,                 3.0981,                 6.7045,                 2.9781,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.8295,                 4.4971,                 2.2141,                0.01111,                0.16667,                0.04146,                0.00415,                 3.0981,                 6.7045,                 2.9781,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.7606,                 4.5153,                 2.1049,                0.01282,                0.16667,                0.02764,                0.00553,                 3.0972,                 6.7189,                 2.9623,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.6467,                  4.472,                  2.097,                0.01282,                0.16667,                0.02764,                0.00553,                 3.0972,                 6.7189,                 2.9623,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                  1.708,                 4.4149,                 2.0714,                0.01389,                0.16667,                0.02073,                0.00622,                 2.9915,                   6.68,                  2.881,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.7137,                 4.4691,                 2.1461,                0.01389,                0.16667,                0.02073,                0.00622,                 2.9915,                   6.68,                  2.881,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                  1.543,                 4.4358,                 1.9543,                0.01667,                0.16667,                0.01658,                0.00332,                 2.9745,                 6.6661,                 2.9034,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.9266,                 4.2481,                 2.1021,                0.01667,                0.16667,                0.01658,                0.00332,                 2.9745,                 6.6661,                 2.9034,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 1.5956,                 4.0094,                 1.9182,                0.01667,                0.16667,                0.01658,                0.00332,                 2.9634,                  6.615,                 2.8594,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.3512,                 4.0293,                 2.0476,                0.01667,                0.16667,                0.01658,                0.00332,                 2.9634,                  6.615,                 2.8594,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.3774,                 4.1707,                 1.8938,                0.01667,                0.16667,                0.01658,                0.00332,                 3.0265,                 6.5331,                 2.8997,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 1.6872,                 4.2359,                 1.8907,                0.01667,                0.16667,                0.01658,                0.00332,                 3.0265,                 6.5331,                 2.8997,             2.5568e-05,             2.5568e-05,             2.5568e-05
